symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
PALC,PCX,etf,20001.0,0.006,4.93,131443.77,US,index,us_market,US,USD,0.6,248302480.0,248302480.0,1592956800.0,Pacer,Exchange Traded Fund,Large Blend,29088.0,29088.0,0.17464979,0.1247269,7.33465,4.69141
MFDX,PCX,etf,20001.0,0.0039,0.37,23574.13,US,index,us_market,US,USD,0.39,406920864.0,406920864.0,1504137600.0,PIMCO,Exchange Traded Fund,Foreign Large Blend,25275.0,25275.0,0.1820051,0.1142593,34.15514,31.179667
AUSF,PCX,etf,20001.0,0.0027,0.9579,37396.84,US,index,us_market,US,USD,0.27,748092864.0,748092860.0,1535068800.0,Global X Funds,Exchange Traded Fund,Mid-Cap Value,52831.0,52831.0,0.202075,0.1601414,13.47547,12.325311
MFEM,PCX,etf,20001.0,0.0049,0.39,24948.37,US,index,us_market,US,USD,0.49,114336576.0,114336576.0,1504137600.0,PIMCO,Exchange Traded Fund,Diversified Emerging Mkts,10815.0,10815.0,0.1635982,0.0652695,25.71804,34.41285
FLDR,BTS,etf,20001.0,0.0015,0.34,0.0,US,bond,us_market,US,USD,0.15,1230857344.0,1230857340.0,1528761600.0,Fidelity Investments,Exchange Traded Fund,Ultrashort Bond,235626.0,235626.0,0.055156898,0.0342711,5.45651,0.39975643
AFLG,PCX,etf,20001.0,0.0055,0.37,181197.0,US,index,us_market,US,USD,0.55,464164512.0,464164512.0,1575331200.0,First Trust,Exchange Traded Fund,Large Blend,77745.0,77745.0,0.18852831,0.1316513,14.44354,12.426531
GLOF,PCX,etf,20001.0,0.002,0.25,157512.58,US,index,us_market,US,USD,0.2,152972064.0,152972064.0,1430179200.0,iShares,Exchange Traded Fund,Global Large-Stock Blend,16661.0,16661.0,0.19750719,0.1185142,23.67377,19.922268
SCDL,PCX,etf,20001.0,0.0095,0.0,0.0,US,equity,us_market,US,USD,0.95,5929275.0,5929275.0,1612483200.0,UBS,Exchange Traded Fund,Trading--Leveraged Equity,36.0,36.0,0.114420205,,1.8049,21.689201
LRGF,PCX,etf,20001.0,0.0008,0.2,276655.0,US,index,us_market,US,USD,0.08,3022615040.0,3022615040.0,1430179200.0,iShares,Exchange Traded Fund,Large Blend,212278.0,212278.0,0.1963023,0.13981861,16.46127,9.747982
IWDL,PCX,etf,20001.0,0.0095,0.0,0.0,US,equity,us_market,US,USD,0.95,4798460.0,4798460.0,1612483200.0,UBS,Exchange Traded Fund,Trading--Leveraged Equity,286.0,286.0,0.190297,,24.76495,25.890148
